Minuto,Arduino_1,Arduino_2,Hobo_1,Hobo_2
285,-15.6575,-14.91,-14.24283333,-14.301
286,-15.938,-15.012,-14.4905,-14.569
287,-16.155,-15.175,-14.75316667,-14.80583333
288,-16.405,-15.3125,-15.01766667,-15.0575
289,-16.686,-15.514,-15.2845,-15.32466667
290,-16.92,-15.705,-15.5265,-15.53983333
291,-17.155,-15.8925,-15.7435,-15.76383333
292,-17.362,-16.086,-15.9615,-15.98183333
293,-17.56,-16.295,-16.16716667,-16.19466667
294,-17.75,-16.462,-16.35366667,-16.3745
295,-17.92,-16.6225,-16.52716667,-16.548
296,-17.97,-16.765,-16.653,-16.688
297,-17.822,-16.858,-16.646,-16.639
298,-17.67,-16.8875,-16.576,-16.541
299,-17.53,-16.94,-16.4645,-16.44383333
300,-17.36,-16.94,-16.33966667,-16.33266667
301,-17.2025,-16.94,-16.21533333,-16.23616667
302,-17.048,-16.898,-16.078,-16.13266667
303,-16.8725,-16.87,-15.9475,-16.02333333
304,-16.75,-16.81,-15.79783333,-15.91333333
305,-16.61,-16.762,-15.64833333,-15.80466667
306,-16.47,-16.69,-15.513,-15.69583333
307,-16.34,-16.62,-15.365,-15.57366667
308,-16.2,-16.536,-15.21066667,-15.46566667
309,-16.03,-16.455,-15.064,-15.35166667
310,-15.89,-16.346,-14.92483333,-15.224
311,-15.765,-16.265,-14.79916667,-15.104
312,-15.66,-16.1725,-14.66733333,-14.991
313,-15.5,-16.072,-14.53616667,-14.88516667
314,-15.3775,-15.97,-14.4185,-14.77283333
315,-15.265,-15.8775,-14.301,-14.66733333
316,-15.14,-15.774,-14.1845,-14.54933333
317,-15.015,-15.66,-14.06166667,-14.43166667
318,-14.91,-15.5625,-13.94566667,-14.327
319,-14.762,-15.428,-13.8235,-14.2165
320,-14.66,-15.3125,-13.734,-14.12
321,-14.536,-15.19,-13.619,-14.0295
322,-14.395,-15.0625,-13.5175,-13.91983333
323,-14.28,-14.97,-13.428,-13.817
324,-14.19,-14.826,-13.321,-13.72766667
325,-14.0775,-14.72,-13.23266667,-13.638
326,-13.97,-14.595,-13.13183333,-13.55566667
327,-13.788,-14.326,-12.91916667,-13.28316667
328,-13.78,-14.11,-12.63916667,-12.894
329,-13.976,-13.988,-12.66383333,-12.82516667
330,-14.2375,-14,-12.84416667,-12.97533333
331,-14.5325,-14.03,-13.11933333,-13.21383333
332,-14.876,-14.14,-13.42216667,-13.5045
333,-15.2375,-14.2975,-13.75316667,-13.81733333
334,-15.5325,-14.485,-14.08116667,-14.14583333
335,-15.876,-14.702,-14.4055,-14.45133333
336,-16.155,-14.94,-14.72016667,-14.7465
337,-16.4525,-15.1575,-15.011,-15.031
338,-16.736,-15.388,-15.2845,-15.31116667
339,-16.9675,-15.6425,-15.53316667,-15.56716667
340,-17.224,-15.852,-15.77066667,-15.81133333
341,-17.37,-16.045,-16.0025,-16.02316667
342,-17.28,-16.155,-16.07116667,-16.07116667
343,-17.136,-16.238,-16.00966667,-15.98883333
344,-16.97,-16.28,-15.92,-15.88616667
345,-16.81,-16.31,-15.81833333,-15.791
346,-16.674,-16.31,-15.70266667,-15.69583333
347,-16.515,-16.31,-15.59416667,-15.6075
348,-16.36,-16.286,-15.45883333,-15.50633333
349,-16.1875,-16.25,-15.32483333,-15.39833333
350,-16.09,-16.205,-15.19733333,-15.30466667
351,-15.952,-16.162,-15.05733333,-15.21066667
352,-15.8275,-16.09,-14.92483333,-15.104
353,-15.72,-16.015,-14.80583333,-14.9975
354,-15.576,-15.952,-14.66733333,-14.89833333
355,-15.44,-15.8625,-14.53616667,-14.79266667
356,-15.3275,-15.795,-14.40533333,-14.687
357,-15.19,-15.714,-14.2815,-14.5755
358,-15.0625,-15.6125,-14.17166667,-14.4775
359,-14.94,-15.512,-14.05516667,-14.366
360,-14.8125,-15.41,-13.93916667,-14.262
361,-14.72,-15.3275,-13.8235,-14.15866667
362,-14.602,-15.238,-13.72133333,-14.05516667
363,-14.5,-15.145,-13.619,-13.9585
364,-14.41,-15.045,-13.5175,-13.86216667
365,-14.286,-14.94,-13.41533333,-13.76583333
366,-14.16,-14.8275,-13.31466667,-13.66366667
367,-14.036,-14.726,-13.20733333,-13.581
368,-13.91,-14.595,-13.11933333,-13.47266667
369,-13.8125,-14.515,-13.019,-13.38366667
370,-13.714,-14.39,-12.9315,-13.29583333
371,-13.6125,-14.28,-12.82533333,-13.201
372,-13.53,-14.19,-12.73866667,-13.11316667
373,-13.428,-14.076,-12.64516667,-13.02533333
374,-13.345,-13.97,-12.55266667,-12.95033333
375,-13.175,-13.7825,-12.42933333,-12.7945
376,-13.154,-13.526,-12.12266667,-12.37383333
377,-13.345,-13.44,-12.09816667,-12.28133333
378,-13.638,-13.428,-12.28783333,-12.42316667
379,-14.0025,-13.47,-12.57133333,-12.6765
380,-14.33,-13.595,-12.90666667,-12.97533333
381,-14.714,-13.776,-13.239,-13.3145
382,-15.08,-13.97,-13.581,-13.63833333
383,-15.3925,-14.205,-13.9265,-13.978
384,-15.738,-14.438,-14.26216667,-14.29483333
385,-16.03,-14.72,-14.56916667,-14.6085
386,-16.374,-14.952,-14.88516667,-14.905
387,-16.655,-15.22,-15.15733333,-15.18416667
388,-16.8725,-15.47,-15.43233333,-15.44566667
389,-17.112,-15.688,-15.68233333,-15.689
390,-17.09,-15.8775,-15.832,-15.83883333
391,-17,-15.955,-15.8115,-15.791
392,-16.836,-16.012,-15.72966667,-15.68233333
393,-16.6875,-16.06,-15.64166667,-15.594
394,-16.512,-16.06,-15.53316667,-15.47916667
395,-16.34,-16.06,-15.41183333,-15.39166667
396,-16.2025,-16.06,-15.29116667,-15.298
397,-16.048,-16.024,-15.164,-15.19733333
398,-15.91,-16,-15.01733333,-15.09066667
399,-15.78,-15.94,-14.8985,-14.99083333
400,-15.678,-15.904,-14.77283333,-14.905
401,-15.53,-15.8275,-14.64766667,-14.8125
402,-15.425,-15.765,-14.5165,-14.71333333
403,-15.274,-15.678,-14.37266667,-14.60833333
404,-15.16,-15.595,-14.262,-14.5035
405,-15.024,-15.5,-14.13933333,-14.39216667
406,-14.91,-15.41,-14.023,-14.2945
407,-14.78,-15.3275,-13.89416667,-14.19083333
408,-14.666,-15.238,-13.785,-14.0875
409,-14.53,-15.145,-13.6765,-13.99733333
410,-14.44,-15.045,-13.57466667,-13.88766667
411,-14.338,-14.964,-13.47266667,-13.79783333
412,-14.235,-14.8625,-13.3585,-13.69583333
413,-14.128,-14.774,-13.27066667,-13.59366667
414,-14,-14.66,-13.1695,-13.50466667
415,-13.91,-14.5775,-13.0755,-13.41533333
416,-13.762,-14.476,-12.98783333,-13.3335
417,-13.66,-14.3625,-12.894,-13.239
418,-13.5625,-14.28,-12.788,-13.13816667
419,-13.464,-14.166,-12.695,-13.05033333
420,-13.3625,-14.045,-12.59583333,-12.9565
421,-13.28,-13.955,-12.52183333,-12.869
